11/11/2016 3:47:56 PM -- UPDATE TIME:11/11/2016 3:47:56 PM
11/11/2016 3:47:56 PM -- Starting Online-Update  version 1.0.0.1
11/11/2016 3:47:56 PM -- OS:      Microsoft Windows NT 6.1.7601 Service Pack 1
11/11/2016 3:47:56 PM -- Machine: ADMIN-PC.Admin-PC
11/11/2016 3:47:56 PM -- User:    User
11/11/2016 3:47:56 PM -- Begin clearAttributes
11/11/2016 3:47:56 PM -- Begin clearAttributes with path: E:\Dự án Bảo Minh\Client\FLEX
11/11/2016 3:47:56 PM -- Begin remove FileAttributes.ReadOnly
11/11/2016 3:47:57 PM -- The @DIRECT.exe is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The @DIRECT.exe.config is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The @DIRECT.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The @DIRECT.XmlSerializers.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Apache.NMS.ActiveMQ.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Apache.NMS.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The AppCore.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The AppCore.dll.config is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The AppCore.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The AxInterop.SHDocVw.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The BrokerScreen.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Common.Logging.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CommonLibrary.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CommonLibrary.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CrystalDecisions.CrystalReports.Engine.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CrystalDecisions.ReportSource.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CrystalDecisions.Shared.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CrystalDecisions.Windows.Forms.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DataGridViewAutoFilter.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.Charts.v11.1.Core.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.Data.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.Data.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.PivotGrid.v11.1.Core.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.PivotGrid.v11.1.Core.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.Printing.v11.1.Core.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.RichEdit.v11.1.Core.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.RichEdit.v11.1.Core.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.Utils.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.Utils.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraBars.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraBars.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraCharts.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraCharts.v11.1.UI.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraCharts.v11.1.UI.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraCharts.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraEditors.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraEditors.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraGrid.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraGrid.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraLayout.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraLayout.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraNavBar.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraNavBar.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraPivotGrid.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraPivotGrid.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraReports.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraReports.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraRichEdit.v11.1.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The DevExpress.XtraRichEdit.v11.1.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The ExcelLibrary.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The FlexCustodian_TEST.zip is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The FlexIcon.ico is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The FSS.RTDF.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The HTMLEditorControl.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The ICSharpCode.SharpZipLib.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Interop.Excel.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Interop.SHDocVw.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The log4net.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Microsoft.Vbe.Interop.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Newtonsoft.Json.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The office.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The office.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The SendFiles.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The SocketServer.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Spring.Aop.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Spring.Core.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Spring.Data.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Spring.Messaging.Nms.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The update.exe is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The updateclient.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The updateclient.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.Editors.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.Editors.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.Grid.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.Grid.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.SmartUI.Controls.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.SmartUI.Controls.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.SmartUI.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.SmartUI.UIStyle.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.SmartUI.UIStyle.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.SmartUI.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.UI.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.UI.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.Validation.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The Xceed.Validation.xml is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The update.exe.config is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The update.log is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The BrokerScreen.resources.dll is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The AF1010.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The AF1012.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The AF1016.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The BO1001.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The BO1002.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The BO1002_1.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The BO1003.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The BO1004.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The BO1005.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The BO1006.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The BO1007.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0001.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0002.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0003.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0004.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0005.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0006.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0008.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0009.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0010.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0011.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0012.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0013.rpt is no longer ReadOnly.
11/11/2016 3:47:57 PM -- The CA0014.rpt is no longer ReadOnly.
