Stock price,Payoff
0,-5
1,-5
2,-5
3,-5
4,-5
5,-5
6,-5
7,-5
8,-5
9,-5
10,-5
11,-5
12,-5
13,-5
14,-5
15,-5
16,-5
17,-5
18,-5
19,-5
20,-5
21,-5
22,-5
23,-5
24,-5
25,-5
26,-5
27,-5
28,-5
29,-5
30,-5
31,-5
32,-5
33,-5
34,-5
35,-5
36,-5
37,-5
38,-5
39,-5
40,-5
41,-5
42,-5
43,-5
44,-5
45,-5
46,-5
47,-5
48,-5
49,-5
50,-5
51,-4
52,-3
53,-2
54,-1
55,0
56,1
57,2
58,3
59,4
60,5
61,6
62,7
63,8
64,9
65,10
66,11
67,12
68,13
69,14
70,15
71,16
72,17
73,18
74,19
75,20
76,21
77,22
78,23
79,24
80,25
81,26
82,27
83,28
84,29
85,30
86,31
87,32
88,33
89,34
90,35
91,36
92,37
93,38
94,39
95,40
96,41
97,42
98,43
99,44
100,45
