Stock,Stock Price,Daily Return,Volatility
FPT,57.3,,0.236702193
FPT,58.8,0.025841231,
FPT,58.4,-0.006825965,
FPT,58.4,0,
FPT,59.3,0.015293416,
FPT,57.5,-0.030824358,
FPT,58.2,0.012100407,
FPT,57.9,-0.00516797,
FPT,57.6,-0.005194817,
FPT,58,0.006920443,
FPT,57.2,-0.013889112,
FPT,57.9,0.012163486,
FPT,56.7,-0.020943174,
FPT,57,0.005277057,
FPT,56.9,-0.001755927,
FPT,53.9,-0.054164863,
FPT,54,0.001853569,
FPT,52.2,-0.033901552,
FPT,52.6,0.007633625,
FPT,53,0.007575794,
FPT,51.2,-0.034552382,
FPT,51.4,0.00389864,
FPT,51,-0.00781254,
FPT,50.5,-0.009852296,
FPT,50.8,0.005923018,
FPT,50.4,-0.00790518,
FPT,50,-0.00796817,
FPT,50.2,0.003992021,
FPT,49.6,-0.012024193,
FPT,49.7,0.002014099,
FPT,49.3,-0.008080852,
FPT,49.3,0,
FPT,50.3,0.020080996,
FPT,50.6,0.005946499,
FPT,50.5,-0.00197824,
FPT,51.5,0.019608471,
FPT,51.4,-0.001943635,
FPT,51.2,-0.00389864,
FPT,51,-0.003913899,
FPT,49.9,-0.02180463,
FPT,49.3,-0.012096922,
FPT,48.8,-0.010193768,
FPT,48.75,-0.001025115,
FPT,48.3,-0.009273637,
FPT,48.05,-0.005189425,
FPT,47.85,-0.004171018,
FPT,48.2,0.007287903,
FPT,48.75,0.011346176,
FPT,48.95,0.004094172,
FPT,49,0.001020929,
FPT,49,0,
FPT,48.85,-0.00306592,
FPT,49.45,0.01220768,
FPT,49.4,-0.001011634,
FPT,48.65,-0.015298616,
FPT,48.4,-0.005151995,
FPT,48.35,-0.001033592,
FPT,48.2,-0.003107201,
FPT,48.35,0.003107201,
FPT,48.75,0.008238976,
FPT,48.1,-0.01342302,
FPT,47.35,-0.015715357,
FPT,47.7,0.007364578,
FPT,47.9,0.004184107,
FPT,48.2,0.006243517,
FPT,48.5,0.006204777,
FPT,48.6,0.002059733,
FPT,48.5,-0.002059733,
FPT,47.8,-0.014538158,
FPT,47.75,-0.001046573,
FPT,47.6,-0.003146306,
FPT,47.5,-0.00210305,
FPT,47.7,0.004201687,
FPT,47.2,-0.010537505,
FPT,47.1,-0.002120892,
FPT,47.75,0.013706066,
FPT,47.5,-0.005249356,
FPT,47.4,-0.002107482,
FPT,48.6,0.025001302,
FPT,48.9,0.006153866,
FPT,49.2,0.006116227,
